Title,Company,Domain,Job Description,Skills,Experience Level,Salary,Location,Work Type,End Date,Source
Senior Wireless Engineer,World Wide Technology,DevOps / Cloud,"Job Title: Senior Wireless Engineer Location: Remote, India For 35 years, WWT has been helping the world’s biggest brands dream big and build bigger. With 12,000 amazing people in 42 countries, we bring together digital strategy, AI, cybersecurity, cloud, and rock-solid infrastructure. We don’t just sell hardware—we design, build, and support everything our customers need to succeed. Oh, and in 2025, we were ranked the 9th best place to work… so we must be doing something right. Key Responsibil…","C, R, Cybersecurity, Git",Senior (5+ yrs),Not Disclosed,India,Remote,2026-05-24,Adzuna
Network Engineer,Team Geek Solutions,Cybersecurity,"Position : Network Engineer Experience-4 Years Location- Electronic city Bangalore (Onsite) Description Technical support for networking such as: WAN and LAN connectivity, routers, firewalls, wireless and security. Remote access solution implementation and support such as IPSEC VPN Ability to work with vendor support to resolve client issues Respond to and resolve alerts and tickets generated from the monitoring system and/or customer requests in a timely fashion. Responsible for insuring the d…","C, R, Firewalls",Not Specified,"₹600,000 - ₹900,000",India,Remote,2026-05-12,Adzuna
Network Engineer,AH Infotech,Cybersecurity,"Job Description Design, implement, and manage LAN/WAN network infrastructure Configure and maintain routers, switches, firewalls, and wireless networks Monitor network performance and ensure high availability and reliability Troubleshoot network issues (L2/L3) and perform root cause analysis Manage VLANs, VPNs, routing protocols (OSPF, BGP, EIGRP) Implement network security measures and firewall policies Perform network upgrades, patching, and capacity planning Maintain documentation for networ…","C, R, Firewalls",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-05-24,Adzuna
Network Operations Center,Rakuten India,Game / AR / VR,"Senior NOC Network Engineer Job Summary: We are seeking an experienced Network Operations Engineer to join our Network Operations Center (NOC) at the L3 level. In this critical role, you will be responsible for monitoring, troubleshooting, and resolving complex network outages across our data center and backbone networks. The ideal candidate will have deep expertise in Cumulus (Mellanox), Juniper, and Cisco technologies, with a proven track record of maintaining high availability in high-stakes…","C, R, ROS",Senior (5+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-25,Adzuna
Information Technology Network Specialist,MostEdge,Mobile Development,"About Us: MostEdge is revolutionizing the retail industry with a cutting-edge analytics platform designed to prioritize customer needs and shape the future of retail. From advanced POS systems and self-service kiosks to surveillance, loyalty solutions, and next-level consumer engagement tools, MostEdge empowers businesses to transform every customer interaction into a profitable opportunity. By seamlessly integrating retail management processes, optimizing supply chains, and ensuring stock avai…","C, R, Unity",Not Specified,Not Disclosed,"Vadodara, Gujarat",Onsite,2026-05-21,Adzuna
Network Engineer,Aksentt Tech Services Limited,Backend / API,"Network Engineer duties and responsibilities · Design and deploy of LANs, WANs, and wireless networks, including servers, routers, firewalls, load balancers, switches, and other hardware · Configure, tests, and maintains LAN/WAN equipment and related services · Identifies, diagnoses, and resolves network problems · Architecting, creating, managing and maintaining Network, Server and PC health for clients (as defined by SLA) · Managing existing and deploying new system configurations, including …","C, R, Firewalls",Lead/Principal (8+ yrs),Not Disclosed,Mumbai,Onsite,2026-05-18,Adzuna
Network Engineer,Praveza Consultancy Private Limited,Game / AR / VR,"Company Name : Netoyed Title : Network Engineer Job type: Full Time, Work from Office Location: Noida, Sector 136 Years of Experience : 3years Salary : 10-12LPA Own and execute technical solutions for the creation of new services. This includes design, build, support requirements. These services will relate to fixed networks (Carrier Ethernet over hybrid wireless [access] and fibre (backhaul and core) and associated applications (data, voice and video). Contribute to the ongoing development and…","C, Go, R",Entry Level,"₹100,000 - ₹1,200,000",Noida,Hybrid,2026-05-04,Adzuna
Network Engineer,Zensar Technologies,DevOps / Cloud,"Description Functions : Network Descriptions: Engineer Core Technologies: Network, Common, Software Engineering Adjacent technologies: OS Responsible for designing, implementing, and troubleshooting enterprise network infrastructure. Ensures secure, reliable connectivity across LAN, WAN, wireless, and cloud environments. Provides support for performance optimization and incident resolution. Skills / Products (Network, Common, Software Engineering): Network: Palo Alto Firewall, Citrix NetScaler,…","C, R, ROS",Not Specified,Not Disclosed,Pune,Onsite,2026-05-14,Adzuna
Network Engineering,People Prime Worldwide,DevOps / Cloud,"About Company : Our Client is a leading Indian multinational IT services and consulting firm. It provides digital transformation, cloud computing, data analytics, enterprise application integration, infrastructure management, and application development services. The company caters to over 700 clients across industries such as banking and financial services, manufacturing, technology, media, retail, and travel & hospitality. Its industry-specific solutions are designed to address complex busine…","C, R, Git, ROS",Lead/Principal (8+ yrs),Not Disclosed,Bengaluru,Onsite,2026-05-08,Adzuna
Network Engineer,Ensono,Cybersecurity,"The Network Engineer is responsible for the design and implementation of enterprise and data center wide voice and data network solutions that align with the architecture and business models to achieve optimal solutions for Ensono and its customers. The Network Engineer is responsible for developing, implementing, and maintaining network solutions to include Network, Security/Threat, and Voice solutions; developing and maintaining network documentation; developing and maintaining network standa…","C, R",Lead/Principal (8+ yrs),Not Disclosed,India,Onsite,2026-05-10,Adzuna
Network Engineer,Executive Softway Guild India Private Limited,Game / AR / VR,"Role: Network Engineer Location: Bengaluru, India Work Model: Hybrid (Onsite Remote) Role Scope / Deliverables Lead the design, development, and implementation of network technology solutions. Collaborate with NOC and Solution Engineering teams for operational readiness. Integrate new technologies ensuring stability, scalability, and performance. Identify risks, gaps, and improvement opportunities in network infrastructure. Test and certify new software images and hardware platforms. Maintain,…","C, Scala, R",Lead/Principal (8+ yrs),Not Disclosed,Bengaluru,Remote,2026-04-29,Adzuna
Network Engineer,Unknown,Game / AR / VR,We are hearing for ( Network Engineer ) Someone who is CCNA certification or who has done CCNA & CCNP training course. Network Design. Configure switches and routers. Emphasis on complex multicast traffic. Manage collocation sites at financial exchanges,"C, R",Not Specified,Not Disclosed,Mumbai,Onsite,2026-05-24,Adzuna
Network Engineer,LT-Larsen & Toubro Limited,Cybersecurity,"Job Summary We are seeking a skilled and motivated Network Engineer with 3–5 years of hands-on experience in designing, implementing, monitoring, and maintaining enterprise network infrastructures. The ideal candidate will ensure high availability, performance, and security of network systems while supporting business and operational needs. Key Responsibilities Design, implement, and maintain LAN, WAN, WLAN, and data center networks Configure and manage routers, switches, firewalls, and load ba…","C, R, Firewalls",Not Specified,Not Disclosed,India,Onsite,2026-05-01,Adzuna
Network Engineer,Wissen Technology,Cybersecurity,"Job Title: Network Engineer Job Summary: The Network Engineer will design, implement, and manage various network solutions to ensure the smooth operation, security, and efficiency of the organization's IT infrastructure. This role requires a deep understanding of network architecture, protocols, and security. Key Responsibilities: Network Design and Implementation: Design and deploy functional networks (LAN, WAN, WLAN, VLAN, VPN). Configure and install various network devices and services (e.g.…","C, R",Lead/Principal (8+ yrs),Not Disclosed,Bengaluru,Onsite,2026-04-28,Adzuna
Networking Engineer,Unknown,Game / AR / VR,"Network Engineer Job Description Template. Your primary duties will include maintenance of computer networks, hardware, software, and other related systems, performing disaster recovery operations, protecting data, software, and hardware from attacks, and replacing faulty network hardware components when necessary.","C, R",Not Specified,Not Disclosed,Hyderabad,Onsite,2026-05-16,Adzuna
Network Engineer,Sunquest Information,DevOps / Cloud,"Job Description We are seeking a talented and diligent Network Engineer to maintain and administer our on-premises and cloud infrastructure This role is responsible for the deployment, configuration, and maintenance of the networking infrastructure within Clinisys Corporate network The Network Engineer will perform routine updates, patches, and upgrades, monitor performance, and troubleshoot issues to ensure optimal functionality Additionally, this role involves the deployment of new networking…","C, R",Not Specified,Not Disclosed,Bengaluru,Onsite,2026-04-29,Adzuna
